종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"300720","한일시멘트","KOSPI","비금속광물","10850","100","0.93","751487709000"
"002220","한일철강","KOSPI","철강금속","3110","-100","-3.12","83029100600"
"006390","한일현대시멘트","KOSPI","비금속광물","18200","100","0.55","323496537000"
"003300","한일홀딩스","KOSPI","비금속광물","10350","-100","-0.96","319120349400"
"051600","한전KPS","KOSPI","건설업","31450","300","0.96","1415250000000"
"052690","한전기술","KOSPI","서비스업","52000","1800","3.59","1987440000000"
"130660","한전산업","KOSPI","서비스업","8250","-30","-0.36","268950000000"
"002320","한진","KOSPI","운수창고업","20050","0","0.00","299699941400"
"003480","한진중공업홀딩스","KOSPI","전기가스업","3400","-10","-0.29","100401360800"
"180640","한진칼","KOSPI","운수창고업","35750","300","0.85","2386734207000"
"18064K","한진칼우","KOSPI","운수창고업","22550","-950","-4.04","12104073300"
"005110","한창","KOSPI","유통업","920","-74","-7.44","72939585360"
"009460","한창제지","KOSPI","종이목재","1425","0","0.00","85026167550"
"372910","한컴라이프케어","KOSPI","의료정밀","5980","-530","-8.14","165492947880"
"000880","한화","KOSPI","화학","24400","350","1.46","1828993134000"
"00088K","한화3우B","KOSPI","화학","13850","50","0.36","311237200000"
"088350","한화생명","KOSPI","보험","1960","-25","-1.26","1702318800000"
"000370","한화손해보험","KOSPI","보험","3770","125","3.43","440105709550"
"009830","한화솔루션","KOSPI","화학","48100","1900","4.11","9200495705700"
"009835","한화솔루션우","KOSPI","화학","38100","600","1.60","42814379700"
"272210","한화시스템","KOSPI","전기전자","10900","100","0.93","2059221340100"
"012450","한화에어로스페이스","KOSPI","운수장비","57500","-200","-0.35","2911225000000"
"000885","한화우","KOSPI","화학","29100","600","2.11","13947455400"
"003530","한화투자증권","KOSPI","증권","2390","0","0.00","512769182250"
"003535","한화투자증권우","KOSPI","증권","5070","-180","-3.43","24336000000"
"195870","해성디에스","KOSPI","전기전자","43550","50","0.11","740350000000"
"101530","해태제과식품","KOSPI","음식료품","5920","-100","-1.66","172371586240"
"143210","핸즈코퍼레이션","KOSPI","운수장비","3305","-55","-1.64","72258100740"
"000720","현대건설","KOSPI","건설업","37350","600","1.63","4159137822750"
"267270","현대건설기계","KOSPI","기계","33350","1350","4.22","657021446550"
"000725","현대건설우","KOSPI","건설업","57600","-400","-0.69","60750316800"
"005440","현대그린푸드","KOSPI","유통업","6300","30","0.48","615538236600"
"086280","현대글로비스","KOSPI","운수창고업","161000","-500","-0.31","6037500000000"
"042670","현대두산인프라코어","KOSPI","기계","4620","100","2.21","913666958820"
"064350","현대로템","KOSPI","운수장비","24700","-100","-0.40","2695814637100"
"079430","현대리바트","KOSPI","기타제조업","9020","-30","-0.33","185228243640"
"012330","현대모비스","KOSPI","운수장비","195500","-6000","-2.98","18489039877000"
"010620","현대미포조선","KOSPI","운수장비","106500","1000","0.95","4253838868500"
